user_id,Submit_Date,Start_Date,Date_Timestamp,Question_01,Question_02,Question_03,Question_04,Question_05,Question_06,Question_07,Question_08,Question_09,Question_10,Question_11,Question_12,Question_13,Question_14,Question_15,Question_16,Question_17,Question_18,Question_19,Question_20
621e2fce67b776a240279baa,24/6/2021 13:24,24/6/2021 13:23,24/6/2021 13:24,4,1,2,1,2,1,1,1,4,1,2,3,1,2,3,4,3,1,2,1
621e2ff067b776a2403eb737,29/11/2021 17:04,29/11/2021 17:03,29/11/2021 17:04,2,4,3,4,1,4,2,1,2,2,3,3,2,1,4,1,1,1,3,2
621e2ff067b776a2403eb737,20/12/2021 11:11,20/12/2021 11:10,20/12/2021 11:11,3,2,3,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,3,1
621e2ff067b776a2403eb737,10/1/2022 21:12,10/1/2022 21:11,10/1/2022 21:12,1,3,3,3,1,2,2,2,1,1,2,2,1,1,2,2,3,2,1,2
621e2ff067b776a2403eb737,13/12/2021 11:17,13/12/2021 11:16,13/12/2021 11:17,2,2,3,2,2,3,1,1,3,2,2,2,1,1,3,1,2,3,3,2
621e2ff067b776a2403eb737,28/12/2021 11:31,28/12/2021 11:30,28/12/2021 11:31,2,3,3,3,1,2,2,3,3,1,3,3,3,1,3,3,2,2,3,1
621e2ff067b776a2403eb737,1/12/2021 12:05,1/12/2021 12:04,1/12/2021 12:05,2,4,2,3,1,3,3,3,1,2,4,3,4,1,4,1,1,4,2,3
621e2ff067b776a2403eb737,6/12/2021 11:33,6/12/2021 11:32,6/12/2021 11:33,2,3,2,3,1,2,1,2,2,2,2,2,2,2,2,2,3,1,3,1
621e2ff067b776a2403eb737,3/1/2022 15:28,3/1/2022 15:27,3/1/2022 15:28,2,3,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2
621e300767b776a2404dc717,3/1/2022 11:43,3/1/2022 11:42,3/1/2022 11:43,3,2,4,2,3,2,2,2,4,3,3,3,2,3,2,3,3,2,3,2
621e300767b776a2404dc717,20/12/2021 9:59,20/12/2021 9:58,20/12/2021 9:59,3,2,3,2,3,2,2,2,3,3,3,3,2,3,2,3,3,3,3,2
621e300767b776a2404dc717,13/12/2021 10:19,13/12/2021 10:18,13/12/2021 10:19,3,3,4,3,3,2,2,2,3,3,2,2,2,3,2,3,2,2,3,2
621e300767b776a2404dc717,27/12/2021 10:26,27/12/2021 10:26,27/12/2021 10:26,3,2,3,2,3,2,2,2,3,3,2,2,2,4,2,3,2,2,3,2
621e300767b776a2404dc717,10/1/2022 10:17,10/1/2022 10:16,10/1/2022 10:17,3,2,4,2,4,2,2,2,3,3,3,2,2,4,2,3,3,3,3,2
621e301367b776a24057738e,29/6/2021 14:03,29/6/2021 14:02,29/6/2021 14:03,4,2,3,2,3,2,2,1,3,3,1,3,1,3,2,3,3,2,4,2
621e301367b776a24057738e,26/7/2021 16:14,26/7/2021 16:13,26/7/2021 16:14,3,2,2,1,3,2,2,1,3,3,1,3,1,3,2,3,4,1,4,1
621e301367b776a24057738e,26/7/2021 17:03,26/7/2021 17:02,26/7/2021 17:03,3,3,2,2,3,1,2,1,3,3,1,2,1,2,3,2,2,2,3,2
621e301367b776a24057738e,1/6/2021 23:07,1/6/2021 23:06,1/6/2021 23:07,4,1,3,2,3,1,2,1,3,3,1,1,1,4,2,4,3,2,4,1
621e301367b776a24057738e,20/6/2021 0:47,20/6/2021 0:44,20/6/2021 0:47,4,4,2,3,4,1,2,1,3,3,3,4,1,3,3,3,4,3,3,3
621e301367b776a24057738e,8/6/2021 11:37,8/6/2021 11:36,8/6/2021 11:37,4,3,3,2,4,1,1,1,3,2,1,3,1,3,1,4,3,1,4,1
621e301367b776a24057738e,13/7/2021 13:00,13/7/2021 13:00,13/7/2021 13:00,4,2,4,2,3,1,2,1,3,3,1,2,1,3,1,4,4,1,3,1
621e301367b776a24057738e,26/7/2021 16:54,26/7/2021 16:53,26/7/2021 16:54,3,3,2,3,4,1,2,1,3,3,1,2,1,2,1,3,3,1,3,1
621e301367b776a24057738e,26/7/2021 16:58,26/7/2021 16:57,26/7/2021 16:58,3,2,2,3,3,2,1,1,2,3,2,2,1,3,2,3,3,1,2,2
621e301367b776a24057738e,26/7/2021 17:00,26/7/2021 16:59,26/7/2021 17:00,2,3,2,3,3,1,3,1,2,3,1,2,1,2,2,3,3,2,3,2
621e301367b776a24057738e,26/7/2021 17:05,26/7/2021 17:04,26/7/2021 17:05,2,3,2,3,3,1,2,1,2,3,1,2,1,2,3,3,3,1,5,2
621e301e67b776a240608a72,7/6/2021 13:19,7/6/2021 13:18,7/6/2021 13:19,4,4,4,3,5,1,1,1,3,3,2,5,2,3,4,4,4,2,4,2
621e301e67b776a240608a72,31/5/2021 14:19,31/5/2021 14:17,31/5/2021 14:19,3,4,4,4,4,2,1,2,4,4,2,5,1,3,4,4,4,2,5,2
621e301e67b776a240608a72,28/8/2021 19:47,28/8/2021 19:46,28/8/2021 19:47,4,4,4,5,4,1,1,2,4,3,2,5,1,2,3,3,3,2,4,1
621e301e67b776a240608a72,22/11/2021 11:30,22/11/2021 11:28,22/11/2021 11:30,3,4,2,4,4,4,5,2,3,2,3,5,3,2,4,4,3,3,4,4
621e301e67b776a240608a72,7/6/2021 13:19,7/6/2021 13:18,7/6/2021 13:19,4,4,4,3,5,1,1,1,3,3,2,5,2,3,4,4,4,2,4,2
621e301e67b776a240608a72,22/11/2021 11:30,22/11/2021 11:28,22/11/2021 11:30,3,4,2,4,4,4,5,2,3,2,3,5,3,2,4,4,3,3,4,4
621e301e67b776a240608a72,31/5/2021 14:19,31/5/2021 14:17,31/5/2021 14:19,3,4,4,4,4,2,1,2,4,4,2,5,1,3,4,4,4,2,5,2
621e301e67b776a240608a72,28/8/2021 19:47,28/8/2021 19:46,28/8/2021 19:47,4,4,4,5,4,1,1,2,4,3,2,5,1,2,3,3,3,2,4,1
621e301e67b776a240608a72,13/12/2021 14:15,13/12/2021 14:15,13/12/2021 14:15,4,4,4,3,4,3,4,2,3,4,3,5,2,4,5,4,3,3,4,4
621e309b67b776a240b532b0,22/11/2021 21:36,22/11/2021 21:35,22/11/2021 21:36,4,2,4,2,4,1,1,1,4,4,1,2,1,4,2,4,3,1,4,1
621e309b67b776a240b532b0,13/12/2021 10:20,13/12/2021 10:19,13/12/2021 10:20,3,1,3,1,4,1,1,1,3,4,1,1,1,3,2,3,1,1,4,1
621e309b67b776a240b532b0,29/12/2021 18:28,29/12/2021 18:27,29/12/2021 18:28,3,1,3,2,3,1,1,1,3,3,1,1,2,3,2,3,1,1,3,1
621e309b67b776a240b532b0,3/1/2022 14:03,3/1/2022 14:03,3/1/2022 14:03,3,1,3,2,4,2,1,1,3,3,1,2,1,3,3,3,2,2,4,2
621e309b67b776a240b532b0,6/12/2021 11:12,6/12/2021 11:11,6/12/2021 11:12,4,2,4,1,4,1,1,1,4,4,1,3,2,3,2,3,2,1,4,1
621e30c867b776a240d4aa6c,26/7/2021 1:33,26/7/2021 1:31,26/7/2021 1:33,4,4,5,3,3,4,1,4,4,2,5,4,1,1,4,1,4,5,5,1
621e30c867b776a240d4aa6c,4/6/2021 13:38,4/6/2021 13:35,4/6/2021 13:38,5,1,5,2,5,1,1,1,5,4,4,5,1,3,2,4,4,2,5,1
621e30c867b776a240d4aa6c,14/6/2021 20:51,14/6/2021 20:50,14/6/2021 20:51,5,2,5,2,5,1,1,1,5,5,1,4,1,5,1,5,5,1,5,1
621e30c867b776a240d4aa6c,22/6/2021 15:23,22/6/2021 15:21,22/6/2021 15:23,5,4,5,4,5,1,2,1,5,5,2,5,1,4,3,4,4,2,5,2
621e30c867b776a240d4aa6c,1/8/2021 22:32,1/8/2021 22:31,1/8/2021 22:32,4,2,5,2,3,2,1,1,3,4,2,4,1,1,2,4,4,2,4,1
621e30c867b776a240d4aa6c,5/7/2021 15:57,5/7/2021 15:56,5/7/2021 15:57,5,2,5,3,5,2,1,2,5,5,1,1,2,3,2,4,4,1,5,1
621e30c867b776a240d4aa6c,19/7/2021 0:15,19/7/2021 0:14,19/7/2021 0:15,5,1,5,2,5,2,1,2,5,5,3,1,2,5,2,4,4,2,5,2
621e30e267b776a240e5bf90,28/12/2021 11:20,28/12/2021 11:13,28/12/2021 11:20,5,2,5,2,3,2,2,2,4,4,2,2,2,2,1,4,3,2,5,2
621e30e267b776a240e5bf90,10/1/2022 10:58,10/1/2022 10:57,10/1/2022 10:58,1,5,5,2,3,1,1,1,4,4,1,2,1,3,2,2,2,1,1,1
